id,properties,createdAt,updatedAt,archived
416102,"{'address': 'Blackpool  Rue, 6576', 'country': 'Waterford', 'createdate': '2023-05-15T02:39:02.002Z', 'hs_object_id': '416102', 'industry': 'Poultry and fish', 'lastmodifieddate': '2023-07-02T03:21:09.194Z', 'phone': '0-774-386-624', 'raw_email': 'Zoe <zoe_owen450104633@acrit.org> Contact Info.', 'technical_test___create_date': '2021-07-13'}",2023-05-15T02:39:02.002Z,2023-07-02T03:21:09.194Z,False
413403,"{'address': 'Parkfield  Avenue, 5340', 'country': 'Ireland', 'createdate': '2023-05-15T02:39:02.003Z', 'hs_object_id': '413403', 'industry': 'Fruit and vegetables', 'lastmodifieddate': '2023-07-02T03:17:41.474Z', 'phone': '6-777-367-783', 'raw_email': 'Zara <zara_rodwell1398442854@nickia.com> Contact Info.', 'technical_test___create_date': '2021-01-09'}",2023-05-15T02:39:02.003Z,2023-07-02T03:17:41.474Z,False
417951,"{'address': 'Abourne   Lane, 876', 'country': 'Ireland', 'createdate': '2023-05-15T02:39:02.003Z', 'hs_object_id': '417951', 'industry': 'Milling', 'lastmodifieddate': '2023-07-02T03:12:00.570Z', 'phone': '5-618-556-540', 'raw_email': 'Zara <zara_freeburn1593147546@gmail.com> Contact Info.', 'technical_test___create_date': '2021-08-30'}",2023-05-15T02:39:02.003Z,2023-07-02T03:12:00.570Z,False
419852,"{'address': 'Chester      Crossroad, 7070', 'country': 'Dublin', 'createdate': '2023-05-15T02:39:02.003Z', 'hs_object_id': '419852', 'industry': 'Dairy products', 'lastmodifieddate': '2023-07-02T03:17:47.964Z', 'phone': '1-161-604-327', 'raw_email': 'Winnie <winnie_walter538064895@sheye.org> Contact Info.', 'technical_test___create_date': '2021-02-10'}",2023-05-15T02:39:02.003Z,2023-07-02T03:17:47.964Z,False
425352,"{'address': 'Tilloch   Crossroad, 8332', 'country': 'Dublin', 'createdate': '2023-05-15T02:39:02.003Z', 'hs_object_id': '425352', 'industry': 'Meat', 'lastmodifieddate': '2023-07-02T03:16:09.371Z', 'phone': '5-645-416-200', 'raw_email': 'Zoe <zoe_owen1652446013@bungar.biz> Contact Info.', 'technical_test___create_date': '2021-11-02'}",2023-05-15T02:39:02.003Z,2023-07-02T03:16:09.371Z,False
427351,"{'address': 'Jackson Hill, 547', 'country': 'London', 'createdate': '2023-05-15T02:39:02.003Z', 'hs_object_id': '427351', 'industry': 'Animal feeds', 'lastmodifieddate': '2023-07-02T03:16:09.373Z', 'phone': '7-614-866-578', 'raw_email': 'Zara <zara_oldfield587137840@ubusive.com> Contact Info.', 'technical_test___create_date': '2021-11-12'}",2023-05-15T02:39:02.003Z,2023-07-02T03:16:09.373Z,False
428601,"{'address': 'Fieldstone Grove, 9968', 'country': 'Limerick', 'createdate': '2023-05-15T02:39:02.003Z', 'hs_object_id': '428601', 'industry': 'Meat', 'lastmodifieddate': '2023-07-02T03:16:04.595Z', 'phone': '6-224-156-216', 'raw_email': 'Zara <zara_freeburn2028884073@gembat.biz> Contact Info.', 'technical_test___create_date': '2021-10-11'}",2023-05-15T02:39:02.003Z,2023-07-02T03:16:04.595Z,False
432351,"{'address': 'Becklow  Way, 8143', 'country': 'Dublin', 'createdate': '2023-05-15T02:39:02.003Z', 'hs_object_id': '432351', 'industry': 'Fruit and vegetables', 'lastmodifieddate': '2023-07-02T03:11:45.243Z', 'phone': '3-386-252-475', 'raw_email': 'Zara <zara_rodwell1270511699@zorer.org> Contact Info.', 'technical_test___create_date': '2021-04-28'}",2023-05-15T02:39:02.003Z,2023-07-02T03:11:45.243Z,False
433703,"{'address': 'Battersea   Walk, 8093', 'country': 'Limerick', 'createdate': '2023-05-15T02:39:02.003Z', 'hs_object_id': '433703', 'industry': 'Meat', 'lastmodifieddate': '2023-07-02T03:21:09.037Z', 'phone': '2-716-506-551', 'raw_email': 'Zara <zara_oldfield769606638@atink.com> Contact Info.', 'technical_test___create_date': '2021-01-28'}",2023-05-15T02:39:02.003Z,2023-07-02T03:21:09.037Z,False
413251,"{'address': 'Bellenden   Tunnel, 9570', 'country': 'Winchester', 'createdate': '2023-05-15T02:39:02.004Z', 'hs_object_id': '413251', 'industry': 'Fruit and vegetables', 'lastmodifieddate': '2023-07-02T03:21:14.268Z', 'phone': '4-660-745-823', 'raw_email': 'Willow <willow_morris1105172480@qater.org> Contact Info.', 'technical_test___create_date': '2021-05-20'}",2023-05-15T02:39:02.004Z,2023-07-02T03:21:14.268Z,False
